Tmin,Tmax,EM,FN,FP,score
5,12,0.003,32.00663349917081,49.91916651697503,81.92580001614584
6,12,0.003,32.83582089552239,49.15454187966969,81.99036277519207
6,12,0.004,36.15257048092869,47.94335805799056,84.09592853891925
5,12,0.004,35.65505804311775,48.68529170090386,84.34034974402161
5,11,0.003,39.966832504145934,51.829134720700985,91.79596722484692
6,11,0.003,41.459369817578775,51.13497681230168,92.59434662988045
5,11,0.004,43.78109452736319,50.90588827377957,94.68698280114276
6,11,0.004,45.27363184079602,50.23842917251052,95.51206101330655
