StartTime,EndTime,NOAA_AR,NOAA_Classification,Zurich,McIntosh,MtWilson,NumSpots,HPC_X,HPC_Y,HGS_Long,HGS_Lat,Observatory,Instrument,EventType
2024-06-03,2024-06-03 23:59:59,13691,,,DSO,BETA-GAMMA,18,618.13062,404.873778,46,25,various,various,AR
2024-06-03,2024-06-03 23:59:59,13695,,,CAO,BETA,11,460.357542,435.635412,33,27,various,various,AR
2024-06-03,2024-06-03 23:59:59,13697,,,EKC,BETA-GAMMA-DELTA,33,-110.055264,-287.132544,-7,-18,various,various,AR
2024-06-03,2024-06-03 23:59:59,13701,,,CAO,BETA,5,-245.178702,-59.8270038,-15,-4,various,various,AR
2024-06-03,2024-06-03 23:59:59,13690,,,AXX,ALPHA,1,784.68666,280.18533,60,17,various,various,AR
2024-06-03,2024-06-03 23:59:59,13702,,,HSX,ALPHA,1,-856.05696,278.863956,-71,17,various,various,AR
2024-06-03,2024-06-03 23:59:59,13700,,,DAI,BETA,8,745.27908,-62.052666,52,-4,various,various,AR
2024-06-03,2024-06-03 23:59:59,13699,,,CSO,BETA,8,556.403118,71.559186,36,4,various,various,AR
2024-06-03,2024-06-03 23:59:59,13698,,,DSI,BETA,11,61.406286,361.807728,4,22,various,various,AR
