date,observatory,xrsa,xrsb,xrsa_corr,xrsb_corr,T_cor,EM_cor,T_phot,EM_phot,EM_cor_norm,EM_phot_norm,month,day,GOES_missing,FAI_alert,FAI_true,delta_min,group_id,duration_from_start
2020-08-08 03:49:00,GOES-17,1.6280002e-07,1.5695323e-06,1.618000169401057e-07,1.5279302942872164e-06,10.29144354974149,7.894940894279388e+47,9.21995104630845,2.2086697876883448e+48,0.0789494089427938,0.2208669787688345,8,2020-08-08,False,True,True,1.0,1,2.0
2020-08-08 03:50:00,GOES-17,1.315762e-07,1.4759077e-06,1.3057619696610345e-07,1.4347655223900802e-06,9.59388494815533,8.156375816647977e+47,8.547025655787705,2.376457406139608e+48,0.0815637581664797,0.2376457406139608,8,2020-08-08,False,True,True,1.0,1,3.0
2020-08-08 03:51:00,GOES-17,1.0289356e-07,1.2926124e-06,1.0189356203227365e-07,1.248563307854056e-06,9.126434030793384,7.636597346420221e+47,8.106522845692618,2.2863734877530567e+48,0.0763659734642022,0.2286373487753056,8,2020-08-08,False,True,True,1.0,1,4.0
2020-11-04 03:03:00,GOES-17,1.9641242e-08,3.303e-07,9.789012267447106e-09,1.1753041917472729e-07,9.211567397541778,7.089072831122945e+46,8.186246264406766,2.1119318300010143e+47,0.0070890728311229,0.0211193183000101,11,2020-11-04,False,True,True,1.0,9,2.0
2020-11-04 04:42:00,GOES-17,1.2735711e-07,1.1291181e-06,1.1992906934210626e-07,9.450603783989208e-07,11.18936199439759,4.406610167257882e+47,10.12722030773653,1.1673161704480636e+48,0.0440661016725788,0.1167316170448063,11,2020-11-04,False,True,True,1.0,13,2.0
2020-11-04 04:43:00,GOES-17,9.799631e-08,1.0208602e-06,8.732855150128671e-08,8.31880697660381e-07,10.250021531583,4.320974770754928e+47,9.179271477091795,1.2118070154647113e+48,0.0432097477075492,0.1211807015464711,11,2020-11-04,False,True,True,1.0,13,3.0
2020-11-04 04:44:00,GOES-17,7.063681e-08,8.345259e-07,5.5828834888416174e-08,5.934206228630501e-07,9.742228267953212,3.3012378025874954e+47,8.688244983664141,9.536684729555058e+47,0.0330123780258749,0.0953668472955505,11,2020-11-04,False,True,True,1.0,13,4.0
2020-11-04 06:47:00,GOES-17,9.2766435e-08,9.275173e-07,8.736809320453177e-08,7.118503617675742e-07,11.018954603263868,3.3792085072567007e+47,9.950978413253855,9.046649313647778e+47,0.033792085072567,0.0904664931364777,11,2020-11-04,False,True,True,1.0,16,2.0
2020-11-04 06:48:00,GOES-17,5.5546366e-08,7.0494247e-07,4.9852985739562434e-08,4.834715241486265e-07,10.165332874705587,2.5386974517542672e+47,9.096398112412464,7.1555533824128495e+47,0.0253869745175426,0.0715555338241284,11,2020-11-04,False,True,True,1.0,16,3.0
2020-11-04 06:49:00,GOES-17,3.5232578e-08,5.4276757e-07,2.4876776194560083e-08,2.7370222710487724e-07,9.588103184131729,1.5572825976375827e+47,8.541536147891824,4.538844664070546e+47,0.0155728259763758,0.0453884466407054,11,2020-11-04,False,True,True,1.0,16,4.0
2020-11-04 08:21:00,GOES-17,1.2213017e-07,1.1371292e-06,1.1144116029981889e-07,9.010734629555373e-07,11.057818340386566,4.2597493529768996e+47,9.991003676969177,1.1376613777113493e+48,0.042597493529769,0.1137661377711349,11,2020-11-04,False,True,True,1.0,18,2.0
2020-11-04 08:22:00,GOES-17,7.2195355e-08,9.794039e-07,6.317030454283667e-08,7.464732334483415e-07,9.2787317341495,4.4541822998030565e+47,8.24928930213753,1.3217778937862786e+48,0.0445418229980305,0.1321777893786278,11,2020-11-04,False,True,True,1.0,18,3.0
2020-11-04 11:32:00,GOES-17,2.8216592e-08,4.5444426e-07,2.262058629298736e-08,2.0001314737783105e-07,10.610042804833297,9.94176674365466e+46,9.536016957462868,2.728793779354042e+47,0.0099417667436546,0.0272879377935404,11,2020-11-04,False,True,True,1.0,29,2.0
2020-11-04 11:33:00,GOES-17,2.2591896e-08,4.4417666e-07,1.8019425951365523e-08,1.870905919076904e-07,9.848762643848596,1.0252005523638226e+47,8.790170942276287,2.9435125861319e+47,0.0102520055236382,0.029435125861319,11,2020-11-04,False,True,True,1.0,29,3.0
2020-11-04 11:34:00,GOES-17,1.9675637e-08,4.2131023e-07,9.9970698386187e-09,1.2346279731900722e-07,9.094009049389731,7.592129999104019e+46,8.076208865444272,2.277368902410568e+47,0.007592129999104,0.0227736890241056,11,2020-11-04,False,True,True,1.0,29,4.0
2020-11-04 11:45:00,GOES-17,7.1913846e-08,8.137827e-07,5.94201878811873e-08,4.6710985657227866e-07,11.201774974065406,2.1752517997155764e+47,10.140134840844892,5.7578148725102315e+47,0.0217525179971557,0.0575781487251023,11,2020-11-04,False,True,True,1.0,31,2.0
2020-11-04 11:46:00,GOES-17,6.172096e-08,8.038946e-07,4.88300528900254e-08,4.520027232501889e-07,10.387100047757134,2.3078666876481754e+47,9.314255655994732,6.419713698136754e+47,0.0230786668764817,0.0641971369813675,11,2020-11-04,False,True,True,1.0,31,3.0
