date,observatory,xrsa,xrsb,xrsa_corr,xrsb_corr,T_cor,EM_cor,T_phot,EM_phot,EM_cor_norm,EM_phot_norm,month,day,GOES_missing,FAI_alert,FAI_true,delta_min,group_id,duration_from_start
2020-08-08 03:47:00,GOES-17,1.587287e-08,2.1035142e-07,1.4872869158466528e-08,1.7075620917239578e-07,9.402029724205685,9.99356061800468e+46,8.365396767281148,2.944358595412009e+47,0.0099935606180046,0.02944358595412,8,2020-08-08,False,True,False,1.0,1,0.0
2020-08-08 03:48:00,GOES-17,1.3101919e-07,1.1538549e-06,1.300191883046864e-07,1.1120407634734877e-06,10.77472692761686,5.423222512892781e+47,9.701793989585886,1.4737936385055398e+48,0.0542322251289278,0.147379363850554,8,2020-08-08,False,True,False,1.0,1,1.0
2020-08-08 03:49:00,GOES-17,1.6280002e-07,1.5695323e-06,1.618000169401057e-07,1.5279302942872164e-06,10.29144354974149,7.894940894279388e+47,9.21995104630845,2.2086697876883448e+48,0.0789494089427938,0.2208669787688345,8,2020-08-08,False,True,True,1.0,1,2.0
2020-08-08 03:50:00,GOES-17,1.315762e-07,1.4759077e-06,1.3057619696610345e-07,1.4347655223900802e-06,9.59388494815533,8.156375816647977e+47,8.547025655787705,2.376457406139608e+48,0.0815637581664797,0.2376457406139608,8,2020-08-08,False,True,True,1.0,1,3.0
2020-08-08 03:51:00,GOES-17,1.0289356e-07,1.2926124e-06,1.0189356203227365e-07,1.248563307854056e-06,9.126434030793384,7.636597346420221e+47,8.106522845692618,2.2863734877530567e+48,0.0763659734642022,0.2286373487753056,8,2020-08-08,False,True,True,1.0,1,4.0
2020-08-08 03:52:00,GOES-17,7.6215464e-08,1.0850675e-06,6.034259314446899e-08,8.747161359679012e-07,8.462351876949786,6.03051225160262e+47,7.490192710220216,1.8779025101300784e+48,0.0603051225160262,0.1877902510130078,8,2020-08-08,False,True,True,1.0,1,5.0
2020-08-08 16:03:00,GOES-17,1.2064959e-08,1.0784356e-07,5.2789057569668785e-09,6.508789596182396e-08,9.100740794585356,3.997981296055466e+46,8.082500174287672,1.1987805724345728e+47,0.0039979812960554,0.0119878057243457,8,2020-08-08,False,True,False,731.0,2,0.0
2020-08-08 16:05:00,GOES-17,9.173414e-09,1.2982707e-07,3.7354417337098775e-09,8.510388482818598e-08,6.980828398543439,8.419306871368343e+46,6.138282838472227,2.875444222289357e+47,0.0084193068713683,0.0287544422228935,8,2020-08-08,False,True,False,1.0,4,0.0
2020-08-08 16:06:00,GOES-17,1.1173978e-08,1.235533e-07,4.323818192375484e-09,6.876904734554047e-08,8.124372062944465,5.081680531516355e+46,7.179403333262853,1.615253964443437e+47,0.0050816805315163,0.0161525396444343,8,2020-08-08,False,True,False,1.0,4,1.0
2020-08-08 16:07:00,GOES-17,1.0867043e-08,1.1356468e-07,2.7789965884039702e-09,4.30212452329215e-08,8.220740912186368,3.1148018702354327e+46,7.267918623623158,9.842113340453043e+46,0.0031148018702354,0.009842113340453,8,2020-08-08,False,True,True,1.0,4,2.0
2020-11-04 00:56:00,GOES-17,1.834091e-08,3.1333002e-07,1.1532886645682085e-08,9.625945551761109e-08,10.897105596459111,4.630515812112633e+46,9.826150060234085,1.2489955064991807e+47,0.0046305158121126,0.0124899550649918,11,2020-11-04,False,True,False,1.0,8,0.0
2020-11-04 00:57:00,GOES-17,2.0653362e-08,3.3124647e-07,1.0939239736273976e-08,1.0557135965427733e-07,10.188365096231864,5.52705149993589e+46,9.11889699729109,1.5557283171459923e+47,0.0055270514999358,0.0155572831714599,11,2020-11-04,False,True,False,1.0,8,1.0
2020-11-04 00:58:00,GOES-17,1.4931302e-08,3.17291e-07,5.6801150449814494e-09,8.898732062334602e-08,8.178020069356922,6.500959540643108e+46,7.228666675567997,2.0595601860344392e+47,0.0065009595406431,0.0205956018603443,11,2020-11-04,False,True,True,1.0,8,2.0
2020-11-04 03:01:00,GOES-17,2.166802e-08,3.4007368e-07,1.5220658511339025e-08,1.496645012366571e-07,10.100383039069117,7.925781821933151e+46,9.033113025389166,2.242534002963457e+47,0.0079257818219331,0.0224253400296345,11,2020-11-04,False,True,False,1.0,12,0.0
