Flare_ID,StartTime,PeakTime,EndTime,Class,ClassLetter,ClassNumber,ClassGroup,Observatory,StartPeak,PeakEnd,StartEnd,day,FAIalerts_W,FAIalerts_WStart,FAIalerts_WPeak,FAIalerts_StartPeak,FAIalerts_PeakEnd,FAIalerts_startEnd,AnticipationStart,AnticipationPeak,Peak_to_lastFAI,Time_since_prev_flare_end,Time_since_prev_flare_peak,RelAnticipation_Peak,RelAnticipation_Start
Flare_20030529_433,2003-05-29 00:51:00,2003-05-29 01:05:00,2003-05-29 01:12:00,X1.2,X,1.2,X1-4.9,GOES,14.0,7.0,21.0,2003-05-29,14,8,14,6,0,6,11.0,25.0,9.0,39.0,43.0,1.7857142857142858,0.7857142857142857
Flare_20030529_434,2003-05-29 02:09:00,2003-05-29 02:18:00,2003-05-29 02:24:00,M1.5,M,1.5,M1-4.9,GOES,9.0,6.0,15.0,2003-05-29,0,0,0,0,0,0,,,,66.0,73.0,,
Flare_20030529_435,2003-05-29 05:13:00,2003-05-29 05:19:00,2003-05-29 05:25:00,C1.2,C,1.2,C1-4.9,GOES,6.0,6.0,12.0,2003-05-29,0,0,0,0,0,0,,,,175.0,,,
Flare_20030529_436,2003-05-29 08:30:00,2003-05-29 08:33:00,2003-05-29 08:35:00,B5.8,B,5.8,B5-9.9,GOES,3.0,2.0,5.0,2003-05-29,0,0,0,0,0,0,,,,,,,
Flare_20030529_437,2003-05-29 10:45:00,2003-05-29 10:49:00,2003-05-29 10:56:00,B7.9,B,7.9,B5-9.9,GOES,4.0,7.0,11.0,2003-05-29,3,0,3,3,0,3,,3.0,1.0,134.0,136.0,0.75,
Flare_20030529_438,2003-05-29 19:28:00,2003-05-29 19:37:00,2003-05-29 19:43:00,M2.8,M,2.8,M1-4.9,GOES,9.0,6.0,15.0,2003-05-29,2,2,2,0,0,0,25.0,34.0,33.0,,,3.7777777777777777,2.7777777777777777
Flare_20030609_439,2003-06-09 00:12:00,2003-06-09 01:15:00,2003-06-09 01:34:00,C8.8,C,8.8,C5-9.9,GOES,63.0,19.0,82.0,2003-06-09,5,0,5,5,0,5,,61.0,33.0,,,0.9682539682539683,
Flare_20030609_440,2003-06-09 04:04:00,2003-06-09 04:09:00,2003-06-09 04:16:00,C2.8,C,2.8,C1-4.9,GOES,5.0,7.0,12.0,2003-06-09,3,3,3,0,0,0,21.0,26.0,24.0,155.0,174.0,5.2,4.2
Flare_20030609_441,2003-06-09 06:46:00,2003-06-09 07:08:00,2003-06-09 07:14:00,C3.0,C,3.0,C1-4.9,GOES,22.0,6.0,28.0,2003-06-09,1,1,1,0,0,0,12.0,34.0,34.0,172.0,179.0,1.5454545454545454,0.5454545454545454
Flare_20030609_442,2003-06-09 08:57:00,2003-06-09 09:02:00,2003-06-09 09:22:00,C3.3,C,3.3,C1-4.9,GOES,5.0,20.0,25.0,2003-06-09,7,7,7,0,0,0,27.0,32.0,12.0,108.0,114.0,6.4,5.4
Flare_20030609_443,2003-06-09 10:16:00,2003-06-09 10:19:00,2003-06-09 10:21:00,C4.0,C,4.0,C1-4.9,GOES,3.0,2.0,5.0,2003-06-09,2,2,2,0,0,0,26.0,29.0,5.0,57.0,77.0,9.666666666666666,8.666666666666666
Flare_20030609_444,2003-06-09 11:21:00,2003-06-09 11:28:00,2003-06-09 11:33:00,M4.7,M,4.7,M1-4.9,GOES,7.0,5.0,12.0,2003-06-09,0,0,0,0,0,0,,,,67.0,69.0,,
Flare_20030609_445,2003-06-09 14:33:00,2003-06-09 14:38:00,2003-06-09 14:40:00,C5.3,C,5.3,C5-9.9,GOES,5.0,2.0,7.0,2003-06-09,0,0,0,0,0,0,,,,,,,
Flare_20030609_446,2003-06-09 16:25:00,2003-06-09 16:29:00,2003-06-09 16:35:00,C5.9,C,5.9,C5-9.9,GOES,4.0,6.0,10.0,2003-06-09,0,0,0,0,0,0,,,,109.0,111.0,,
Flare_20030609_447,2003-06-09 17:02:00,2003-06-09 17:07:00,2003-06-09 17:27:00,C5.4,C,5.4,C5-9.9,GOES,5.0,20.0,25.0,2003-06-09,2,0,2,2,0,2,,2.0,1.0,32.0,38.0,0.4,
Flare_20030609_448,2003-06-09 18:58:00,2003-06-09 19:01:00,2003-06-09 19:06:00,C9.4,C,9.4,C5-9.9,GOES,3.0,5.0,8.0,2003-06-09,0,0,0,0,0,0,,,,94.0,114.0,,
Flare_20030609_449,2003-06-09 19:27:00,2003-06-09 19:32:00,2003-06-09 19:44:00,C5.0,C,5.0,C5-9.9,GOES,5.0,12.0,17.0,2003-06-09,0,0,0,0,0,0,,,,26.0,31.0,,
Flare_20030609_450,2003-06-09 20:07:00,2003-06-09 20:25:00,2003-06-09 20:27:00,C3.4,C,3.4,C1-4.9,GOES,18.0,2.0,20.0,2003-06-09,3,0,3,3,0,3,,13.0,11.0,41.0,53.0,0.7222222222222222,
Flare_20030609_451,2003-06-09 20:53:00,2003-06-09 20:57:00,2003-06-09 21:01:00,C7.1,C,7.1,C5-9.9,GOES,4.0,4.0,8.0,2003-06-09,3,1,3,2,0,2,1.0,5.0,3.0,30.0,32.0,1.25,0.25
Flare_20030609_452,2003-06-09 21:08:00,2003-06-09 21:12:00,2003-06-09 21:15:00,C4.8,C,4.8,C1-4.9,GOES,4.0,3.0,7.0,2003-06-09,0,0,0,0,0,0,,,,11.0,15.0,,
Flare_20030609_453,2003-06-09 21:31:00,2003-06-09 21:39:00,2003-06-09 21:43:00,X1.7,X,1.7,X1-4.9,GOES,8.0,4.0,12.0,2003-06-09,0,0,0,0,0,0,,,,24.0,27.0,,
Flare_20030610_455,2003-06-10 02:10:00,2003-06-10 02:14:00,2003-06-10 02:17:00,C3.0,C,3.0,C1-4.9,GOES,4.0,3.0,7.0,2003-06-10,1,1,1,0,0,0,24.0,28.0,28.0,,,7.0,6.0
Flare_20030610_456,2003-06-10 02:22:00,2003-06-10 02:27:00,2003-06-10 02:36:00,C3.3,C,3.3,C1-4.9,GOES,5.0,9.0,14.0,2003-06-10,0,0,0,0,0,0,,,,10.0,13.0,,
Flare_20030610_457,2003-06-10 02:48:00,2003-06-10 02:54:00,2003-06-10 03:01:00,M2.0,M,2.0,M1-4.9,GOES,6.0,7.0,13.0,2003-06-10,0,0,0,0,0,0,,,,18.0,27.0,,
Flare_20030610_458,2003-06-10 08:34:00,2003-06-10 08:37:00,2003-06-10 08:40:00,M2.7,M,2.7,M1-4.9,GOES,3.0,3.0,6.0,2003-06-10,5,5,5,0,0,0,30.0,33.0,16.0,,,11.0,10.0
Flare_20030610_459,2003-06-10 10:55:00,2003-06-10 11:12:00,2003-06-10 11:15:00,M5.1,M,5.1,M5-9.9,GOES,17.0,3.0,20.0,2003-06-10,5,4,5,1,0,1,15.0,32.0,3.0,152.0,155.0,1.8823529411764706,0.8823529411764706
Flare_20030610_461,2003-06-10 14:08:00,2003-06-10 14:36:00,2003-06-10 14:42:00,M2.2,M,2.2,M1-4.9,GOES,28.0,6.0,34.0,2003-06-10,0,0,0,0,0,0,,,,,,,
Flare_20030610_462,2003-06-10 16:20:00,2003-06-10 16:24:00,2003-06-10 16:27:00,M1.0,M,1.0,M1-4.9,GOES,4.0,3.0,7.0,2003-06-10,0,0,0,0,0,0,,,,102.0,108.0,,
Flare_20030610_463,2003-06-10 16:28:00,2003-06-10 16:30:00,2003-06-10 16:32:00,M3.9,M,3.9,M1-4.9,GOES,2.0,2.0,4.0,2003-06-10,0,0,0,0,0,0,,,,3.0,6.0,,
Flare_20030610_464,2003-06-10 18:08:00,2003-06-10 18:15:00,2003-06-10 18:26:00,M5.6,M,5.6,M5-9.9,GOES,7.0,11.0,18.0,2003-06-10,0,0,0,0,0,0,,,,103.0,105.0,,
Flare_20030610_465,2003-06-10 22:04:00,2003-06-10 22:13:00,2003-06-10 22:21:00,M1.0,M,1.0,M1-4.9,GOES,9.0,8.0,17.0,2003-06-10,0,0,0,0,0,0,,,,,,,
Flare_20030611_467,2003-06-11 03:01:00,2003-06-11 03:06:00,2003-06-11 03:13:00,M1.8,M,1.8,M1-4.9,GOES,5.0,7.0,12.0,2003-06-11,2,2,2,0,0,0,8.0,13.0,12.0,,,2.6,1.6
Flare_20030611_468,2003-06-11 04:47:00,2003-06-11 04:53:00,2003-06-11 04:58:00,C8.1,C,8.1,C5-9.9,GOES,6.0,5.0,11.0,2003-06-11,0,0,0,0,0,0,,,,100.0,107.0,,
Flare_20030611_469,2003-06-11 08:22:00,2003-06-11 08:30:00,2003-06-11 08:32:00,C8.3,C,8.3,C5-9.9,GOES,8.0,2.0,10.0,2003-06-11,2,0,2,2,0,2,,7.0,2.0,,,0.875,
Flare_20030611_470,2003-06-11 10:28:00,2003-06-11 10:33:00,2003-06-11 10:35:00,M1.1,M,1.1,M1-4.9,GOES,5.0,2.0,7.0,2003-06-11,1,1,1,0,0,0,18.0,23.0,23.0,121.0,123.0,4.6,3.6
Flare_20030611_471,2003-06-11 10:51:00,2003-06-11 11:09:00,2003-06-11 11:32:00,M1.4,M,1.4,M1-4.9,GOES,18.0,23.0,41.0,2003-06-11,0,0,0,0,0,0,,,,34.0,36.0,,
Flare_20030611_472,2003-06-11 13:09:00,2003-06-11 13:21:00,2003-06-11 13:37:00,M2.7,M,2.7,M1-4.9,GOES,12.0,16.0,28.0,2003-06-11,0,0,0,0,0,0,,,,109.0,132.0,,
Flare_20030611_473,2003-06-11 14:37:00,2003-06-11 15:27:00,2003-06-11 15:47:00,M3.7,M,3.7,M1-4.9,GOES,50.0,20.0,70.0,2003-06-11,2,1,2,1,0,1,20.0,70.0,12.0,110.0,126.0,1.4,0.4
Flare_20030611_474,2003-06-11 16:21:00,2003-06-11 16:36:00,2003-06-11 16:50:00,M4.5,M,4.5,M1-4.9,GOES,15.0,14.0,29.0,2003-06-11,0,0,0,0,0,0,,,,49.0,69.0,,
Flare_20030611_475,2003-06-11 17:27:00,2003-06-11 17:43:00,2003-06-11 18:00:00,M1.8,M,1.8,M1-4.9,GOES,16.0,17.0,33.0,2003-06-11,0,0,0,0,0,0,,,,53.0,67.0,,
Flare_20030611_476,2003-06-11 20:01:00,2003-06-11 20:14:00,2003-06-11 20:27:00,X1.6,X,1.6,X1-4.9,GOES,13.0,13.0,26.0,2003-06-11,0,0,0,0,0,0,,,,134.0,151.0,,
Flare_20030611_477,2003-06-11 21:41:00,2003-06-11 21:51:00,2003-06-11 22:10:00,M2.9,M,2.9,M1-4.9,GOES,10.0,19.0,29.0,2003-06-11,0,0,0,0,0,0,,,,84.0,97.0,,
Flare_20030615_478,2003-06-15 02:15:00,2003-06-15 02:20:00,2003-06-15 02:27:00,C2.3,C,2.3,C1-4.9,GOES,5.0,7.0,12.0,2003-06-15,4,3,4,1,0,1,26.0,31.0,4.0,,,6.2,5.2
Flare_20030615_479,2003-06-15 05:23:00,2003-06-15 05:46:00,2003-06-15 05:55:00,C1.4,C,1.4,C1-4.9,GOES,23.0,9.0,32.0,2003-06-15,2,0,2,2,0,2,,19.0,7.0,,,0.8260869565217391,
Flare_20030615_480,2003-06-15 08:19:00,2003-06-15 08:43:00,2003-06-15 08:58:00,C1.2,C,1.2,C1-4.9,GOES,24.0,15.0,39.0,2003-06-15,7,0,7,7,0,7,,18.0,1.0,168.0,177.0,0.75,
Flare_20030615_481,2003-06-15 09:45:00,2003-06-15 09:58:00,2003-06-15 10:10:00,C1.7,C,1.7,C1-4.9,GOES,13.0,12.0,25.0,2003-06-15,3,0,3,3,0,3,,11.0,6.0,60.0,75.0,0.8461538461538461,
Flare_20030615_482,2003-06-15 12:22:00,2003-06-15 12:28:00,2003-06-15 12:35:00,C1.3,C,1.3,C1-4.9,GOES,6.0,7.0,13.0,2003-06-15,0,0,0,0,0,0,,,,138.0,150.0,,
Flare_20030615_483,2003-06-15 14:07:00,2003-06-15 14:57:00,2003-06-15 15:58:00,C3.3,C,3.3,C1-4.9,GOES,50.0,61.0,111.0,2003-06-15,27,0,27,27,0,27,,46.0,4.0,142.0,149.0,0.92,
Flare_20030615_484,2003-06-15 22:35:00,2003-06-15 22:38:00,2003-06-15 22:41:00,C2.1,C,2.1,C1-4.9,GOES,3.0,3.0,6.0,2003-06-15,0,0,0,0,0,0,,,,,,,
Flare_20030615_485,2003-06-15 23:25:00,2003-06-15 23:56:00,2003-06-16 00:25:00,X1.3,X,1.3,X1-4.9,GOES,31.0,29.0,60.0,2003-06-15,6,0,6,6,0,6,,23.0,18.0,75.0,78.0,0.7419354838709677,
Flare_20031019_487,2003-10-19 08:06:00,2003-10-19 08:09:00,2003-10-19 08:13:00,C1.3,C,1.3,C1-4.9,GOES,3.0,4.0,7.0,2003-10-19,0,0,0,0,0,0,,,,,,,
Flare_20031019_488,2003-10-19 13:31:00,2003-10-19 13:35:00,2003-10-19 13:38:00,C1.6,C,1.6,C1-4.9,GOES,4.0,3.0,7.0,2003-10-19,0,0,0,0,0,0,,,,,,,
Flare_20031019_490,2003-10-19 19:21:00,2003-10-19 19:26:00,2003-10-19 19:30:00,M1.0,M,1.0,M1-4.9,GOES,5.0,4.0,9.0,2003-10-19,0,0,0,0,0,0,,,,,,,
Flare_20031019_491,2003-10-19 22:45:00,2003-10-19 22:49:00,2003-10-19 22:53:00,C3.8,C,3.8,C1-4.9,GOES,4.0,4.0,8.0,2003-10-19,0,0,0,0,0,0,,,,,,,
Flare_20031023_492,2003-10-23 02:35:00,2003-10-23 02:41:00,2003-10-23 02:44:00,M2.4,M,2.4,M1-4.9,GOES,6.0,3.0,9.0,2003-10-23,0,0,0,0,0,0,,,,,,,
Flare_20031023_493,2003-10-23 07:02:00,2003-10-23 07:08:00,2003-10-23 07:10:00,M3.2,M,3.2,M1-4.9,GOES,6.0,2.0,8.0,2003-10-23,0,0,0,0,0,0,,,,,,,
Flare_20031023_494,2003-10-23 08:19:00,2003-10-23 08:35:00,2003-10-23 08:49:00,X5.4,X,5.4,X5-+,GOES,16.0,14.0,30.0,2003-10-23,0,0,0,0,0,0,,,,85.0,87.0,,
Flare_20031023_495,2003-10-23 10:49:00,2003-10-23 10:53:00,2003-10-23 10:55:00,M2.7,M,2.7,M1-4.9,GOES,4.0,2.0,6.0,2003-10-23,0,0,0,0,0,0,,,,124.0,138.0,,
Flare_20031026_497,2003-10-26 00:45:00,2003-10-26 00:50:00,2003-10-26 00:57:00,C3.2,C,3.2,C1-4.9,GOES,5.0,7.0,12.0,2003-10-26,7,7,7,0,0,0,21.0,26.0,20.0,,,5.2,4.2
Flare_20031026_499,2003-10-26 14:15:00,2003-10-26 14:20:00,2003-10-26 14:24:00,M1.0,M,1.0,M1-4.9,GOES,5.0,4.0,9.0,2003-10-26,4,4,4,0,0,0,20.0,25.0,22.0,,,5.0,4.0
Flare_20031026_501,2003-10-26 21:34:00,2003-10-26 21:40:00,2003-10-26 21:48:00,M7.6,M,7.6,M5-9.9,GOES,6.0,8.0,14.0,2003-10-26,0,0,0,0,0,0,,,,,,,
Flare_20031028_503,2003-10-28 00:41:00,2003-10-28 00:45:00,2003-10-28 00:48:00,C5.3,C,5.3,C5-9.9,GOES,4.0,3.0,7.0,2003-10-28,0,0,0,0,0,0,,,,,,,
Flare_20031028_504,2003-10-28 00:56:00,2003-10-28 00:59:00,2003-10-28 01:02:00,C6.7,C,6.7,C5-9.9,GOES,3.0,3.0,6.0,2003-10-28,0,0,0,0,0,0,,,,11.0,14.0,,
Flare_20031028_505,2003-10-28 01:27:00,2003-10-28 01:33:00,2003-10-28 01:45:00,C7.5,C,7.5,C5-9.9,GOES,6.0,12.0,18.0,2003-10-28,0,0,0,0,0,0,,,,31.0,34.0,,
Flare_20031028_506,2003-10-28 05:07:00,2003-10-28 05:11:00,2003-10-28 05:14:00,C7.7,C,7.7,C5-9.9,GOES,4.0,3.0,7.0,2003-10-28,1,0,1,1,0,1,,4.0,4.0,,,1.0,
Flare_20031028_507,2003-10-28 08:35:00,2003-10-28 08:39:00,2003-10-28 08:44:00,C8.7,C,8.7,C5-9.9,GOES,4.0,5.0,9.0,2003-10-28,0,0,0,0,0,0,,,,,,,
Flare_20031028_508,2003-10-28 09:51:00,2003-10-28 11:10:00,2003-10-28 11:24:00,X17.,X,17.0,X5-+,GOES,79.0,14.0,93.0,2003-10-28,2,0,2,2,0,2,,27.0,26.0,146.0,151.0,0.34177215189873417,
Flare_20031029_509,2003-10-29 00:26:00,2003-10-29 01:51:00,2003-10-29 02:08:00,M1.1,M,1.1,M1-4.9,GOES,85.0,17.0,102.0,2003-10-29,1,1,1,0,0,0,30.0,115.0,115.0,,,1.3529411764705883,0.35294117647058826
Flare_20031029_510,2003-10-29 04:10:00,2003-10-29 04:17:00,2003-10-29 04:25:00,C6.2,C,6.2,C5-9.9,GOES,7.0,8.0,15.0,2003-10-29,1,1,1,0,0,0,7.0,14.0,14.0,129.0,146.0,2.0,1.0
Flare_20031029_512,2003-10-29 14:15:00,2003-10-29 14:22:00,2003-10-29 14:28:00,C9.2,C,9.2,C5-9.9,GOES,7.0,6.0,13.0,2003-10-29,0,0,0,0,0,0,,,,,,,
Flare_20031029_513,2003-10-29 16:49:00,2003-10-29 16:57:00,2003-10-29 17:12:00,C8.1,C,8.1,C5-9.9,GOES,8.0,15.0,23.0,2003-10-29,4,4,4,0,0,0,4.0,12.0,9.0,149.0,155.0,1.5,0.5
Flare_20031029_514,2003-10-29 18:10:00,2003-10-29 18:13:00,2003-10-29 18:17:00,C7.8,C,7.8,C5-9.9,GOES,3.0,4.0,7.0,2003-10-29,2,2,2,0,0,0,29.0,32.0,31.0,61.0,76.0,10.666666666666666,9.666666666666666
Flare_20031029_515,2003-10-29 20:37:00,2003-10-29 20:49:00,2003-10-29 21:01:00,X10.,X,10.0,X5-+,GOES,12.0,12.0,24.0,2003-10-29,5,4,5,1,0,1,26.0,38.0,12.0,152.0,156.0,3.1666666666666665,2.1666666666666665
Flare_20031102_516,2003-11-02 02:37:00,2003-11-02 02:43:00,2003-11-02 02:48:00,C4.0,C,4.0,C1-4.9,GOES,6.0,5.0,11.0,2003-11-02,0,0,0,0,0,0,,,,,,,
Flare_20031102_517,2003-11-02 06:59:00,2003-11-02 07:53:00,2003-11-02 08:12:00,M1.0,M,1.0,M1-4.9,GOES,54.0,19.0,73.0,2003-11-02,6,6,6,0,0,0,30.0,84.0,71.0,,,1.5555555555555556,0.5555555555555556
Flare_20031102_519,2003-11-02 17:03:00,2003-11-02 17:25:00,2003-11-02 17:39:00,X8.3,X,8.3,X5-+,GOES,22.0,14.0,36.0,2003-11-02,0,0,0,0,0,0,,,,,,,
Flare_20031103_520,2003-11-03 01:09:00,2003-11-03 01:30:00,2003-11-03 01:45:00,X2.7,X,2.7,X1-4.9,GOES,21.0,15.0,36.0,2003-11-03,1,1,1,0,0,0,29.0,50.0,50.0,,,2.380952380952381,1.380952380952381
Flare_20031103_521,2003-11-03 09:43:00,2003-11-03 09:55:00,2003-11-03 10:19:00,X3.9,X,3.9,X1-4.9,GOES,12.0,24.0,36.0,2003-11-03,4,4,4,0,0,0,28.0,40.0,37.0,,,3.3333333333333335,2.3333333333333335
Flare_20031103_522,2003-11-03 15:26:00,2003-11-03 15:32:00,2003-11-03 15:43:00,M3.9,M,3.9,M1-4.9,GOES,6.0,11.0,17.0,2003-11-03,0,0,0,0,0,0,,,,,,,
Flare_20031103_523,2003-11-03 19:51:00,2003-11-03 19:54:00,2003-11-03 19:57:00,C4.4,C,4.4,C1-4.9,GOES,3.0,3.0,6.0,2003-11-03,0,0,0,0,0,0,,,,,,,
Flare_20031103_524,2003-11-03 20:31:00,2003-11-03 20:37:00,2003-11-03 20:41:00,C5.4,C,5.4,C5-9.9,GOES,6.0,4.0,10.0,2003-11-03,0,0,0,0,0,0,,,,40.0,43.0,,
Flare_20031103_525,2003-11-03 22:28:00,2003-11-03 22:36:00,2003-11-03 22:40:00,C3.1,C,3.1,C1-4.9,GOES,8.0,4.0,12.0,2003-11-03,0,0,0,0,0,0,,,,115.0,119.0,,
Flare_20031104_526,2003-11-04 04:04:00,2003-11-04 04:11:00,2003-11-04 04:19:00,C5.0,C,5.0,C5-9.9,GOES,7.0,8.0,15.0,2003-11-04,2,2,2,0,0,0,16.0,23.0,22.0,,,3.2857142857142856,2.2857142857142856
Flare_20031104_527,2003-11-04 05:43:00,2003-11-04 05:56:00,2003-11-04 06:07:00,M2.6,M,2.6,M1-4.9,GOES,13.0,11.0,24.0,2003-11-04,0,0,0,0,0,0,,,,97.0,105.0,,
Flare_20031104_528,2003-11-04 09:40:00,2003-11-04 09:43:00,2003-11-04 09:50:00,C2.8,C,2.8,C1-4.9,GOES,3.0,7.0,10.0,2003-11-04,0,0,0,0,0,0,,,,,,,
Flare_20031104_529,2003-11-04 10:11:00,2003-11-04 10:22:00,2003-11-04 10:33:00,M3.0,M,3.0,M1-4.9,GOES,11.0,11.0,22.0,2003-11-04,5,5,5,0,0,0,8.0,19.0,15.0,32.0,39.0,1.7272727272727273,0.7272727272727273
Flare_20031104_530,2003-11-04 11:15:00,2003-11-04 11:19:00,2003-11-04 11:25:00,C5.7,C,5.7,C5-9.9,GOES,4.0,6.0,10.0,2003-11-04,0,0,0,0,0,0,,,,46.0,57.0,,
Flare_20031104_531,2003-11-04 13:43:00,2003-11-04 13:49:00,2003-11-04 14:01:00,M1.1,M,1.1,M1-4.9,GOES,6.0,12.0,18.0,2003-11-04,2,1,2,1,0,1,1.0,7.0,6.0,144.0,150.0,1.1666666666666667,0.16666666666666666
Flare_20031104_532,2003-11-04 19:29:00,2003-11-04 19:50:00,2003-11-04 20:06:00,X28.,X,28.0,X5-+,GOES,21.0,16.0,37.0,2003-11-04,0,0,0,0,0,0,,,,,,,
Flare_20040715_544,2004-07-15 01:30:00,2004-07-15 01:41:00,2004-07-15 01:48:00,X1.8,X,1.8,X1-4.9,GOES,11.0,7.0,18.0,2004-07-15,9,5,9,4,0,4,9.0,20.0,8.0,,,1.8181818181818181,0.8181818181818182
Flare_20040715_545,2004-07-15 11:11:00,2004-07-15 11:16:00,2004-07-15 11:19:00,C2.5,C,2.5,C1-4.9,GOES,5.0,3.0,8.0,2004-07-15,0,0,0,0,0,0,,,,,,,
Flare_20040715_546,2004-07-15 14:51:00,2004-07-15 14:56:00,2004-07-15 15:04:00,C1.4,C,1.4,C1-4.9,GOES,5.0,8.0,13.0,2004-07-15,0,0,0,0,0,0,,,,,,,
Flare_20040715_547,2004-07-15 18:15:00,2004-07-15 18:24:00,2004-07-15 18:28:00,X1.6,X,1.6,X1-4.9,GOES,9.0,4.0,13.0,2004-07-15,3,3,3,0,0,0,16.0,25.0,23.0,,,2.7777777777777777,1.7777777777777777
Flare_20040715_549,2004-07-15 22:24:00,2004-07-15 22:33:00,2004-07-15 22:52:00,C7.9,C,7.9,C5-9.9,GOES,9.0,19.0,28.0,2004-07-15,1,1,1,0,0,0,7.0,16.0,16.0,,,1.7777777777777777,0.7777777777777778
Flare_20040716_550,2004-07-16 01:43:00,2004-07-16 02:06:00,2004-07-16 02:12:00,X1.3,X,1.3,X1-4.9,GOES,23.0,6.0,29.0,2004-07-16,1,1,1,0,0,0,4.0,27.0,27.0,,,1.173913043478261,0.17391304347826086
Flare_20040716_551,2004-07-16 08:34:00,2004-07-16 08:38:00,2004-07-16 08:42:00,C1.7,C,1.7,C1-4.9,GOES,4.0,4.0,8.0,2004-07-16,0,0,0,0,0,0,,,,,,,
Flare_20040716_552,2004-07-16 08:55:00,2004-07-16 08:59:00,2004-07-16 09:02:00,C1.9,C,1.9,C1-4.9,GOES,4.0,3.0,7.0,2004-07-16,0,0,0,0,0,0,,,,17.0,21.0,,
Flare_20040716_553,2004-07-16 10:32:00,2004-07-16 10:41:00,2004-07-16 10:46:00,X1.1,X,1.1,X1-4.9,GOES,9.0,5.0,14.0,2004-07-16,0,0,0,0,0,0,,,,99.0,102.0,,
Flare_20040716_554,2004-07-16 12:32:00,2004-07-16 12:59:00,2004-07-16 13:14:00,C8.2,C,8.2,C5-9.9,GOES,27.0,15.0,42.0,2004-07-16,3,0,3,3,0,3,,23.0,21.0,133.0,138.0,0.8518518518518519,
Flare_20040716_555,2004-07-16 13:49:00,2004-07-16 13:55:00,2004-07-16 14:01:00,X3.6,X,3.6,X1-4.9,GOES,6.0,6.0,12.0,2004-07-16,0,0,0,0,0,0,,,,41.0,56.0,,
Flare_20040716_556,2004-07-16 16:22:00,2004-07-16 16:28:00,2004-07-16 16:31:00,M1.2,M,1.2,M1-4.9,GOES,6.0,3.0,9.0,2004-07-16,0,0,0,0,0,0,,,,147.0,153.0,,
Flare_20040716_557,2004-07-16 20:29:00,2004-07-16 20:39:00,2004-07-16 20:52:00,C9.0,C,9.0,C5-9.9,GOES,10.0,13.0,23.0,2004-07-16,1,0,1,1,0,1,,7.0,7.0,,,0.7,
Flare_20040717_558,2004-07-17 01:54:00,2004-07-17 02:01:00,2004-07-17 02:06:00,C5.7,C,5.7,C5-9.9,GOES,7.0,5.0,12.0,2004-07-17,0,0,0,0,0,0,,,,,,,
Flare_20040717_559,2004-07-17 02:07:00,2004-07-17 02:13:00,2004-07-17 02:16:00,C6.8,C,6.8,C5-9.9,GOES,6.0,3.0,9.0,2004-07-17,0,0,0,0,0,0,,,,7.0,12.0,,
Flare_20040717_560,2004-07-17 03:42:00,2004-07-17 03:47:00,2004-07-17 03:49:00,C4.2,C,4.2,C1-4.9,GOES,5.0,2.0,7.0,2004-07-17,0,0,0,0,0,0,,,,91.0,94.0,,
Flare_20040717_561,2004-07-17 07:51:00,2004-07-17 07:57:00,2004-07-17 07:59:00,X1.0,X,1.0,X1-4.9,GOES,6.0,2.0,8.0,2004-07-17,5,2,5,3,0,3,2.0,8.0,4.0,,,1.3333333333333333,0.3333333333333333
Flare_20040717_562,2004-07-17 09:46:00,2004-07-17 09:53:00,2004-07-17 09:57:00,C5.0,C,5.0,C5-9.9,GOES,7.0,4.0,11.0,2004-07-17,0,0,0,0,0,0,,,,114.0,116.0,,
Flare_20040717_563,2004-07-17 11:24:00,2004-07-17 11:37:00,2004-07-17 11:42:00,C7.2,C,7.2,C5-9.9,GOES,13.0,5.0,18.0,2004-07-17,1,0,1,1,0,1,,7.0,7.0,100.0,104.0,0.5384615384615384,
Flare_20040717_564,2004-07-17 12:31:00,2004-07-17 12:55:00,2004-07-17 13:01:00,C8.8,C,8.8,C5-9.9,GOES,24.0,6.0,30.0,2004-07-17,4,0,4,4,0,4,,19.0,16.0,73.0,78.0,0.7916666666666666,
Flare_20040717_565,2004-07-17 15:48:00,2004-07-17 15:57:00,2004-07-17 16:03:00,C2.6,C,2.6,C1-4.9,GOES,9.0,6.0,15.0,2004-07-17,2,1,2,1,0,1,3.0,12.0,3.0,176.0,,1.3333333333333333,0.3333333333333333
Flare_20040717_566,2004-07-17 16:45:00,2004-07-17 16:51:00,2004-07-17 16:57:00,M2.5,M,2.5,M1-4.9,GOES,6.0,6.0,12.0,2004-07-17,2,2,2,0,0,0,3.0,9.0,8.0,48.0,54.0,1.5,0.5
Flare_20040717_567,2004-07-17 18:21:00,2004-07-17 18:27:00,2004-07-17 18:31:00,C2.2,C,2.2,C1-4.9,GOES,6.0,4.0,10.0,2004-07-17,1,1,1,0,0,0,8.0,14.0,14.0,90.0,96.0,2.3333333333333335,1.3333333333333333
Flare_20040717_568,2004-07-17 19:15:00,2004-07-17 19:18:00,2004-07-17 19:20:00,C5.3,C,5.3,C5-9.9,GOES,3.0,2.0,5.0,2004-07-17,1,0,1,1,0,1,,2.0,2.0,47.0,51.0,0.6666666666666666,
Flare_20040717_569,2004-07-17 20:36:00,2004-07-17 20:45:00,2004-07-17 20:51:00,C3.4,C,3.4,C1-4.9,GOES,9.0,6.0,15.0,2004-07-17,4,1,4,3,0,3,4.0,13.0,4.0,85.0,87.0,1.4444444444444444,0.4444444444444444
