Flare_ID,StartTime,PeakTime,EndTime,Class,ClassLetter,ClassNumber,ClassGroup,Observatory,StartPeak,PeakEnd,StartEnd,day,FAIalerts_W,FAIalerts_WStart,FAIalerts_WPeak,FAIalerts_StartPeak,FAIalerts_PeakEnd,FAIalerts_startEnd,AnticipationStart,AnticipationPeak,Peak_to_lastFAI,Time_since_prev_flare_end,Time_since_prev_flare_peak,RelAnticipation_Peak,RelAnticipation_Start
Flare_20011213_250,2001-12-13 06:32:00,2001-12-13 06:40:00,2001-12-13 07:00:00,M1.8,M,1.8,M1-4.9,GOES,8.0,20.0,28.0,2001-12-13,2,2,2,0,0,0,17.0,25.0,24.0,,,3.125,2.125
Flare_20011213_251,2001-12-13 10:06:00,2001-12-13 10:12:00,2001-12-13 10:24:00,C3.1,C,3.1,C1-4.9,GOES,6.0,12.0,18.0,2001-12-13,0,0,0,0,0,0,,,,,,,
Flare_20011213_252,2001-12-13 13:22:00,2001-12-13 13:26:00,2001-12-13 13:31:00,C3.4,C,3.4,C1-4.9,GOES,4.0,5.0,9.0,2001-12-13,0,0,0,0,0,0,,,,,,,
Flare_20011213_253,2001-12-13 13:58:00,2001-12-13 14:03:00,2001-12-13 14:07:00,C2.4,C,2.4,C1-4.9,GOES,5.0,4.0,9.0,2001-12-13,0,0,0,0,0,0,,,,32.0,37.0,,
Flare_20011213_254,2001-12-13 14:20:00,2001-12-13 14:30:00,2001-12-13 14:35:00,X6.2,X,6.2,X5-+,GOES,10.0,5.0,15.0,2001-12-13,3,0,3,3,0,3,,9.0,7.0,23.0,27.0,0.9,
Flare_20020421_264,2002-04-21 17:25:00,2002-04-21 17:30:00,2002-04-21 17:33:00,C7.9,C,7.9,C5-9.9,GOES,5.0,3.0,8.0,2002-04-21,1,1,1,0,0,0,9.0,14.0,14.0,,,2.8,1.8
Flare_20020421_265,2002-04-21 17:37:00,2002-04-21 18:06:00,2002-04-21 18:24:00,C8.3,C,8.3,C5-9.9,GOES,29.0,18.0,47.0,2002-04-21,5,0,5,5,0,5,,9.0,5.0,33.0,36.0,0.3103448275862069,
Flare_20020421_266,2002-04-21 20:11:00,2002-04-21 20:16:00,2002-04-21 20:18:00,C2.9,C,2.9,C1-4.9,GOES,5.0,2.0,7.0,2002-04-21,1,1,1,0,0,0,19.0,24.0,24.0,112.0,130.0,4.8,3.8
Flare_20020421_267,2002-04-21 21:51:00,2002-04-21 21:56:00,2002-04-21 21:58:00,C3.4,C,3.4,C1-4.9,GOES,5.0,2.0,7.0,2002-04-21,1,1,1,0,0,0,16.0,21.0,21.0,98.0,100.0,4.2,3.2
Flare_20020520_268,2002-05-20 07:19:00,2002-05-20 07:33:00,2002-05-20 07:34:00,C2.2,C,2.2,C1-4.9,GOES,14.0,1.0,15.0,2002-05-20,8,0,8,8,0,8,,9.0,2.0,,,0.6428571428571429,
Flare_20020520_269,2002-05-20 07:29:00,2002-05-20 08:05:00,2002-05-20 08:14:00,C3.9,C,3.9,C1-4.9,GOES,36.0,9.0,45.0,2002-05-20,7,0,7,7,0,7,,30.0,24.0,31.0,32.0,0.8333333333333334,
Flare_20020520_270,2002-05-20 10:14:00,2002-05-20 10:29:00,2002-05-20 10:34:00,M4.7,M,4.7,M1-4.9,GOES,15.0,5.0,20.0,2002-05-20,10,10,10,0,0,0,14.0,29.0,20.0,135.0,144.0,1.9333333333333333,0.9333333333333333
Flare_20020520_271,2002-05-20 10:49:00,2002-05-20 10:53:00,2002-05-20 10:56:00,M5.0,M,5.0,M5-9.9,GOES,4.0,3.0,7.0,2002-05-20,0,0,0,0,0,0,,,,19.0,24.0,,
Flare_20020520_272,2002-05-20 15:21:00,2002-05-20 15:27:00,2002-05-20 15:31:00,X2.1,X,2.1,X1-4.9,GOES,6.0,4.0,10.0,2002-05-20,0,0,0,0,0,0,,,,,,,
Flare_20020520_273,2002-05-20 18:15:00,2002-05-20 18:20:00,2002-05-20 18:25:00,C4.1,C,4.1,C1-4.9,GOES,5.0,5.0,10.0,2002-05-20,7,6,7,1,0,1,20.0,25.0,5.0,169.0,173.0,5.0,4.0
Flare_20020520_274,2002-05-20 19:46:00,2002-05-20 19:51:00,2002-05-20 19:56:00,C1.8,C,1.8,C1-4.9,GOES,5.0,5.0,10.0,2002-05-20,3,0,3,3,0,3,,3.0,1.0,86.0,91.0,0.6,
Flare_20020520_275,2002-05-20 20:17:00,2002-05-20 20:24:00,2002-05-20 20:37:00,C3.0,C,3.0,C1-4.9,GOES,7.0,13.0,20.0,2002-05-20,0,0,0,0,0,0,,,,28.0,33.0,,
Flare_20020520_276,2002-05-20 21:16:00,2002-05-20 21:20:00,2002-05-20 21:24:00,C2.0,C,2.0,C1-4.9,GOES,4.0,4.0,8.0,2002-05-20,2,0,2,2,0,2,,2.0,1.0,43.0,56.0,0.5,
Flare_20020703_277,2002-07-03 00:00:00,2002-07-03 00:31:00,2002-07-03 00:45:00,C4.1,C,4.1,C1-4.9,GOES,31.0,14.0,45.0,2002-07-03,1,0,1,1,0,1,,17.0,17.0,,,0.5483870967741935,
Flare_20020703_278,2002-07-03 01:37:00,2002-07-03 01:44:00,2002-07-03 01:52:00,C2.0,C,2.0,C1-4.9,GOES,7.0,8.0,15.0,2002-07-03,0,0,0,0,0,0,,,,59.0,73.0,,
Flare_20020703_279,2002-07-03 02:08:00,2002-07-03 02:13:00,2002-07-03 02:16:00,X1.5,X,1.5,X1-4.9,GOES,5.0,3.0,8.0,2002-07-03,0,0,0,0,0,0,,,,21.0,29.0,,
Flare_20020703_280,2002-07-03 07:57:00,2002-07-03 08:09:00,2002-07-03 08:22:00,C3.4,C,3.4,C1-4.9,GOES,12.0,13.0,25.0,2002-07-03,11,5,11,6,0,6,5.0,17.0,1.0,,,1.4166666666666667,0.4166666666666667
Flare_20020703_281,2002-07-03 08:48:00,2002-07-03 08:51:00,2002-07-03 08:57:00,C1.1,C,1.1,C1-4.9,GOES,3.0,6.0,9.0,2002-07-03,0,0,0,0,0,0,,,,29.0,42.0,,
Flare_20020703_282,2002-07-03 11:43:00,2002-07-03 11:54:00,2002-07-03 12:04:00,C7.3,C,7.3,C5-9.9,GOES,11.0,10.0,21.0,2002-07-03,4,0,4,4,0,4,,10.0,7.0,177.0,,0.9090909090909091,
Flare_20020703_283,2002-07-03 13:23:00,2002-07-03 13:30:00,2002-07-03 13:32:00,C1.2,C,1.2,C1-4.9,GOES,7.0,2.0,9.0,2002-07-03,3,0,3,3,0,3,,4.0,2.0,86.0,96.0,0.5714285714285714,
Flare_20020703_284,2002-07-03 15:17:00,2002-07-03 15:21:00,2002-07-03 15:31:00,B8.8,B,8.8,B5-9.9,GOES,4.0,10.0,14.0,2002-07-03,0,0,0,0,0,0,,,,109.0,111.0,,
Flare_20020703_285,2002-07-03 15:40:00,2002-07-03 15:44:00,2002-07-03 15:49:00,C1.1,C,1.1,C1-4.9,GOES,4.0,5.0,9.0,2002-07-03,0,0,0,0,0,0,,,,13.0,23.0,,
Flare_20020703_286,2002-07-03 18:03:00,2002-07-03 18:08:00,2002-07-03 18:11:00,C3.0,C,3.0,C1-4.9,GOES,5.0,3.0,8.0,2002-07-03,1,1,1,0,0,0,5.0,10.0,10.0,139.0,144.0,2.0,1.0
Flare_20020703_287,2002-07-03 19:41:00,2002-07-03 19:45:00,2002-07-03 19:49:00,M1.1,M,1.1,M1-4.9,GOES,4.0,4.0,8.0,2002-07-03,13,12,13,1,0,1,15.0,19.0,4.0,94.0,97.0,4.75,3.75
Flare_20020703_288,2002-07-03 20:00:00,2002-07-03 20:10:00,2002-07-03 20:21:00,M5.3,M,5.3,M5-9.9,GOES,10.0,11.0,21.0,2002-07-03,0,0,0,0,0,0,,,,21.0,25.0,,
Flare_20020703_289,2002-07-03 23:18:00,2002-07-03 23:25:00,2002-07-03 23:32:00,C7.9,C,7.9,C5-9.9,GOES,7.0,7.0,14.0,2002-07-03,4,4,4,0,0,0,20.0,27.0,24.0,,,3.857142857142857,2.857142857142857
Flare_20020718_300,2002-07-18 03:22:00,2002-07-18 03:37:00,2002-07-18 03:40:00,M2.2,M,2.2,M1-4.9,GOES,15.0,3.0,18.0,2002-07-18,10,3,10,7,0,7,3.0,18.0,6.0,,,1.2,0.2
Flare_20020718_301,2002-07-18 06:49:00,2002-07-18 06:53:00,2002-07-18 06:57:00,C1.7,C,1.7,C1-4.9,GOES,4.0,4.0,8.0,2002-07-18,3,0,3,3,0,3,,3.0,1.0,,,0.75,
Flare_20020718_302,2002-07-18 07:24:00,2002-07-18 07:44:00,2002-07-18 07:49:00,X1.8,X,1.8,X1-4.9,GOES,20.0,5.0,25.0,2002-07-18,0,0,0,0,0,0,,,,47.0,51.0,,
Flare_20020718_303,2002-07-18 08:15:00,2002-07-18 08:35:00,2002-07-18 08:40:00,C1.6,C,1.6,C1-4.9,GOES,20.0,5.0,25.0,2002-07-18,4,0,4,4,0,4,,10.0,1.0,46.0,51.0,0.5,
Flare_20020718_304,2002-07-18 11:51:00,2002-07-18 11:58:00,2002-07-18 12:06:00,C2.7,C,2.7,C1-4.9,GOES,7.0,8.0,15.0,2002-07-18,4,2,4,2,0,2,27.0,34.0,1.0,,,4.857142857142857,3.857142857142857
Flare_20020718_305,2002-07-18 13:48:00,2002-07-18 13:54:00,2002-07-18 14:04:00,C5.4,C,5.4,C5-9.9,GOES,6.0,10.0,16.0,2002-07-18,7,7,7,0,0,0,17.0,23.0,17.0,108.0,116.0,3.8333333333333335,2.8333333333333335
Flare_20020718_306,2002-07-18 17:42:00,2002-07-18 17:46:00,2002-07-18 17:51:00,C1.7,C,1.7,C1-4.9,GOES,4.0,5.0,9.0,2002-07-18,2,2,2,0,0,0,19.0,23.0,22.0,,,5.75,4.75
Flare_20020718_307,2002-07-18 17:57:00,2002-07-18 18:02:00,2002-07-18 18:08:00,C1.4,C,1.4,C1-4.9,GOES,5.0,6.0,11.0,2002-07-18,1,0,1,1,0,1,,1.0,1.0,11.0,16.0,0.2,
Flare_20020718_308,2002-07-18 19:52:00,2002-07-18 19:57:00,2002-07-18 20:06:00,C2.1,C,2.1,C1-4.9,GOES,5.0,9.0,14.0,2002-07-18,8,8,8,0,0,0,28.0,33.0,22.0,109.0,115.0,6.6,5.6
Flare_20020718_311,2002-07-18 22:56:00,2002-07-18 23:00:00,2002-07-18 23:02:00,C1.8,C,1.8,C1-4.9,GOES,4.0,2.0,6.0,2002-07-18,2,0,2,2,0,2,,2.0,1.0,174.0,,0.5,
Flare_20020718_312,2002-07-18 23:08:00,2002-07-18 23:17:00,2002-07-18 23:23:00,C8.2,C,8.2,C5-9.9,GOES,9.0,6.0,15.0,2002-07-18,0,0,0,0,0,0,,,,15.0,17.0,,
Flare_20020720_313,2002-07-20 02:50:00,2002-07-20 03:00:00,2002-07-20 03:10:00,C4.0,C,4.0,C1-4.9,GOES,10.0,10.0,20.0,2002-07-20,5,4,5,1,0,1,4.0,14.0,10.0,,,1.4,0.4
Flare_20020720_314,2002-07-20 12:37:00,2002-07-20 12:42:00,2002-07-20 12:44:00,C9.6,C,9.6,C5-9.9,GOES,5.0,2.0,7.0,2002-07-20,0,0,0,0,0,0,,,,,,,
Flare_20020720_315,2002-07-20 13:23:00,2002-07-20 13:27:00,2002-07-20 13:33:00,C2.7,C,2.7,C1-4.9,GOES,4.0,6.0,10.0,2002-07-20,4,3,4,1,0,1,20.0,24.0,1.0,43.0,45.0,6.0,5.0
Flare_20020720_316,2002-07-20 21:04:00,2002-07-20 21:30:00,2002-07-20 21:54:00,X3.3,X,3.3,X1-4.9,GOES,26.0,24.0,50.0,2002-07-20,0,0,0,0,0,0,,,,,,,
Flare_20020723_317,2002-07-23 00:18:00,2002-07-23 00:35:00,2002-07-23 00:47:00,X4.8,X,4.8,X1-4.9,GOES,17.0,12.0,29.0,2002-07-23,0,0,0,0,0,0,,,,,,,
Flare_20020723_318,2002-07-23 07:22:00,2002-07-23 08:14:00,2002-07-23 08:33:00,C3.7,C,3.7,C1-4.9,GOES,52.0,19.0,71.0,2002-07-23,32,4,32,28,0,28,16.0,68.0,1.0,,,1.3076923076923077,0.3076923076923077
Flare_20020723_319,2002-07-23 08:40:00,2002-07-23 09:06:00,2002-07-23 09:12:00,C4.0,C,4.0,C1-4.9,GOES,26.0,6.0,32.0,2002-07-23,10,0,10,10,0,10,,10.0,1.0,33.0,52.0,0.38461538461538464,
Flare_20020723_320,2002-07-23 10:50:00,2002-07-23 11:05:00,2002-07-23 11:21:00,C2.8,C,2.8,C1-4.9,GOES,15.0,16.0,31.0,2002-07-23,0,0,0,0,0,0,,,,113.0,119.0,,
Flare_20020723_321,2002-07-23 12:18:00,2002-07-23 12:23:00,2002-07-23 12:30:00,C2.9,C,2.9,C1-4.9,GOES,5.0,7.0,12.0,2002-07-23,0,0,0,0,0,0,,,,62.0,78.0,,
Flare_20020723_323,2002-07-23 22:49:00,2002-07-23 22:56:00,2002-07-23 23:01:00,C2.6,C,2.6,C1-4.9,GOES,7.0,5.0,12.0,2002-07-23,4,1,4,3,0,3,1.0,8.0,5.0,,,1.1428571428571428,0.14285714285714285
Flare_20020803_325,2002-08-03 04:32:00,2002-08-03 04:40:00,2002-08-03 04:49:00,C7.5,C,7.5,C5-9.9,GOES,8.0,9.0,17.0,2002-08-03,7,7,7,0,0,0,22.0,30.0,13.0,,,3.75,2.75
Flare_20020803_326,2002-08-03 06:11:00,2002-08-03 06:15:00,2002-08-03 06:19:00,C2.1,C,2.1,C1-4.9,GOES,4.0,4.0,8.0,2002-08-03,1,0,1,1,0,1,,1.0,1.0,86.0,95.0,0.25,
Flare_20020803_327,2002-08-03 09:15:00,2002-08-03 09:19:00,2002-08-03 09:26:00,C2.7,C,2.7,C1-4.9,GOES,4.0,7.0,11.0,2002-08-03,1,1,1,0,0,0,9.0,13.0,13.0,180.0,,3.25,2.25
Flare_20020803_328,2002-08-03 10:22:00,2002-08-03 10:25:00,2002-08-03 10:27:00,C1.7,C,1.7,C1-4.9,GOES,3.0,2.0,5.0,2002-08-03,1,1,1,0,0,0,26.0,29.0,29.0,59.0,66.0,9.666666666666666,8.666666666666666
Flare_20020803_329,2002-08-03 12:59:00,2002-08-03 13:04:00,2002-08-03 13:09:00,C5.3,C,5.3,C5-9.9,GOES,5.0,5.0,10.0,2002-08-03,8,8,8,0,0,0,27.0,32.0,16.0,157.0,159.0,6.4,5.4
Flare_20020803_330,2002-08-03 15:13:00,2002-08-03 15:28:00,2002-08-03 15:39:00,C2.9,C,2.9,C1-4.9,GOES,15.0,11.0,26.0,2002-08-03,12,8,12,4,0,4,27.0,42.0,8.0,139.0,144.0,2.8,1.8
Flare_20020803_331,2002-08-03 16:52:00,2002-08-03 16:56:00,2002-08-03 17:04:00,C2.7,C,2.7,C1-4.9,GOES,4.0,8.0,12.0,2002-08-03,1,1,1,0,0,0,18.0,22.0,22.0,77.0,88.0,5.5,4.5
Flare_20020803_332,2002-08-03 18:27:00,2002-08-03 18:33:00,2002-08-03 18:41:00,C2.4,C,2.4,C1-4.9,GOES,6.0,8.0,14.0,2002-08-03,8,6,8,2,0,2,23.0,29.0,1.0,89.0,97.0,4.833333333333333,3.8333333333333335
Flare_20020803_333,2002-08-03 18:59:00,2002-08-03 19:07:00,2002-08-03 19:11:00,X1.0,X,1.0,X1-4.9,GOES,8.0,4.0,12.0,2002-08-03,1,0,1,1,0,1,,8.0,8.0,26.0,34.0,1.0,
Flare_20020803_334,2002-08-03 21:11:00,2002-08-03 21:17:00,2002-08-03 21:24:00,C3.7,C,3.7,C1-4.9,GOES,6.0,7.0,13.0,2002-08-03,6,5,6,1,0,1,22.0,28.0,6.0,126.0,130.0,4.666666666666667,3.6666666666666665
Flare_20020803_335,2002-08-03 21:25:00,2002-08-03 21:32:00,2002-08-03 21:37:00,C6.1,C,6.1,C5-9.9,GOES,7.0,5.0,12.0,2002-08-03,0,0,0,0,0,0,,,,8.0,15.0,,
Flare_20020803_336,2002-08-03 23:25:00,2002-08-03 23:32:00,2002-08-03 23:38:00,C3.8,C,3.8,C1-4.9,GOES,7.0,6.0,13.0,2002-08-03,5,1,5,4,0,4,1.0,8.0,1.0,115.0,120.0,1.1428571428571428,0.14285714285714285
Flare_20020821_337,2002-08-21 00:57:00,2002-08-21 01:01:00,2002-08-21 01:06:00,C3.3,C,3.3,C1-4.9,GOES,4.0,5.0,9.0,2002-08-21,4,4,4,0,0,0,30.0,34.0,31.0,,,8.5,7.5
Flare_20020821_338,2002-08-21 01:35:00,2002-08-21 01:41:00,2002-08-21 01:45:00,M1.4,M,1.4,M1-4.9,GOES,6.0,4.0,10.0,2002-08-21,0,0,0,0,0,0,,,,35.0,40.0,,
Flare_20020821_339,2002-08-21 04:47:00,2002-08-21 04:51:00,2002-08-21 04:54:00,C3.6,C,3.6,C1-4.9,GOES,4.0,3.0,7.0,2002-08-21,0,0,0,0,0,0,,,,,,,
