date,observatory,xrsa,xrsb,xrsa_corr,xrsb_corr,T_cor,EM_cor,T_phot,EM_phot,EM_cor_norm,EM_phot_norm,month,day,GOES_missing,FAI_alert,FAI_true,delta_min,group_id,duration_from_start
2020-08-08 03:49:00,GOES-17,1.6280002e-07,1.5695323e-06,1.618000169401057e-07,1.5279302942872164e-06,10.29144354974149,7.894940894279388e+47,9.21995104630845,2.2086697876883448e+48,0.0789494089427938,0.2208669787688345,8,2020-08-08,False,True,True,1.0,1,2.0
2020-08-08 03:50:00,GOES-17,1.315762e-07,1.4759077e-06,1.3057619696610345e-07,1.4347655223900802e-06,9.59388494815533,8.156375816647977e+47,8.547025655787705,2.376457406139608e+48,0.0815637581664797,0.2376457406139608,8,2020-08-08,False,True,True,1.0,1,3.0
2020-08-08 03:51:00,GOES-17,1.0289356e-07,1.2926124e-06,1.0189356203227365e-07,1.248563307854056e-06,9.126434030793384,7.636597346420221e+47,8.106522845692618,2.2863734877530567e+48,0.0763659734642022,0.2286373487753056,8,2020-08-08,False,True,True,1.0,1,4.0
2020-08-08 03:52:00,GOES-17,7.6215464e-08,1.0850675e-06,6.034259314446899e-08,8.747161359679012e-07,8.462351876949786,6.03051225160262e+47,7.490192710220216,1.8779025101300784e+48,0.0603051225160262,0.1877902510130078,8,2020-08-08,False,True,True,1.0,1,5.0
2020-11-04 00:58:00,GOES-17,1.4931302e-08,3.17291e-07,5.6801150449814494e-09,8.898732062334602e-08,8.178020069356922,6.500959540643108e+46,7.228666675567997,2.0595601860344392e+47,0.0065009595406431,0.0205956018603443,11,2020-11-04,False,True,True,1.0,8,2.0
2020-11-04 03:03:00,GOES-17,1.9641242e-08,3.303e-07,9.789012267447106e-09,1.1753041917472729e-07,9.211567397541778,7.089072831122945e+46,8.186246264406766,2.1119318300010143e+47,0.0070890728311229,0.0211193183000101,11,2020-11-04,False,True,True,1.0,12,2.0
2020-11-04 03:04:00,GOES-17,2.070203e-08,3.547128e-07,7.901318710423766e-09,1.0393307547928998e-07,8.838117723952752,6.679187228231801e+46,7.837784516965511,2.033911981661298e+47,0.0066791872282318,0.0203391198166129,11,2020-11-04,False,True,True,1.0,12,3.0
2020-11-04 04:45:00,GOES-17,5.2872355e-08,7.0185786e-07,2.356854977847433e-08,3.3027649237737933e-07,8.590743141506742,2.221254081175933e+47,7.608611127697504,6.864278695267128e+47,0.0222125408117593,0.0686427869526712,11,2020-11-04,False,True,True,1.0,19,2.0
2020-11-04 06:36:00,GOES-17,1.1667336e-08,2.7551118e-07,2.562373424552788e-09,6.760102166936123e-08,6.579123165046954,7.61220802727437e+46,5.77670805206634,2.66642391193034e+47,0.0076122080272743,0.0266642391193034,11,2020-11-04,False,True,True,1.0,20,2.0
2020-11-04 06:37:00,GOES-17,1.3655547e-08,2.8326605e-07,4.544671305950487e-09,7.777889265980775e-08,7.870586293878149,6.081746589262953e+46,6.946954099864749,1.9637522002202307e+47,0.0060817465892629,0.0196375220022023,11,2020-11-04,False,True,True,1.0,20,3.0
2020-11-04 06:38:00,GOES-17,1.22003465e-08,2.846299e-07,3.112308633035354e-09,6.513744210678851e-08,7.229081147112198,5.995656698103824e+46,6.36303839374869,2.015521763681189e+47,0.0059956566981038,0.0201552176368118,11,2020-11-04,False,True,True,1.0,20,4.0
2020-11-04 09:16:00,GOES-17,7.865529e-09,2.6258468e-07,2.2200574711916943e-09,6.03313310421072e-08,6.502007645228386,6.978144413407282e+46,5.707557999632664,2.456215676193053e+47,0.0069781444134072,0.0245621567619305,11,2020-11-04,False,True,True,1.0,27,2.0
2020-11-04 09:50:00,GOES-17,1.7154461e-08,3.4624273e-07,1.0302411368456887e-08,1.1724323201178777e-07,9.44019921525592,6.821441002573332e+46,8.4014421858801,2.0053084545760064e+47,0.0068214410025733,0.02005308454576,11,2020-11-04,False,True,True,1.0,31,2.0
2020-11-04 09:51:00,GOES-17,1.0641684e-08,3.0118107e-07,2.2106885211314875e-09,5.4261505511021824e-08,6.772576865040996,5.72890882032036e+46,5.950511271195209,1.982533565400957e+47,0.0057289088203203,0.0198253356540095,11,2020-11-04,False,True,True,1.0,31,3.0
2020-11-04 11:32:00,GOES-17,2.8216592e-08,4.5444426e-07,2.262058629298736e-08,2.0001314737783105e-07,10.610042804833297,9.94176674365466e+46,9.536016957462868,2.728793779354042e+47,0.0099417667436546,0.0272879377935404,11,2020-11-04,False,True,True,1.0,40,2.0
2020-11-04 11:33:00,GOES-17,2.2591896e-08,4.4417666e-07,1.8019425951365523e-08,1.870905919076904e-07,9.848762643848596,1.0252005523638226e+47,8.790170942276287,2.9435125861319e+47,0.0102520055236382,0.029435125861319,11,2020-11-04,False,True,True,1.0,40,3.0
2020-11-04 11:34:00,GOES-17,1.9675637e-08,4.2131023e-07,9.9970698386187e-09,1.2346279731900722e-07,9.094009049389731,7.592129999104019e+46,8.076208865444272,2.277368902410568e+47,0.007592129999104,0.0227736890241056,11,2020-11-04,False,True,True,1.0,40,4.0
