StartTime,EndTime,Class,Observatory,PeakTime
2000-11-25 14:16:00,2000-11-25 14:25:00,C2.1,GOES,2000-11-25 14:20:00
2000-11-25 15:29:00,2000-11-25 15:37:00,C3.3,GOES,2000-11-25 15:35:00
2000-11-25 15:47:00,2000-11-25 16:00:00,C1.9,GOES,2000-11-25 15:56:00
2000-11-25 17:12:00,2000-11-25 17:45:00,C3.2,GOES,2000-11-25 17:28:00
2000-11-25 18:33:00,2000-11-25 18:55:00,X1.9,GOES,2000-11-25 18:44:00
2000-11-26 02:47:00,2000-11-26 03:20:00,M2.2,GOES,2000-11-26 03:08:00
2000-11-26 06:19:00,2000-11-26 10:30:00,C3.6,GOES,2000-11-26 08:46:00
2000-11-26 11:31:00,2000-11-26 11:45:00,C2.8,GOES,2000-11-26 11:38:00
2000-11-26 12:37:00,2000-11-26 12:44:00,C3.4,GOES,2000-11-26 12:41:00
2000-11-26 15:08:00,2000-11-26 15:15:00,C2.2,GOES,2000-11-26 15:12:00
2000-11-26 16:34:00,2000-11-26 16:56:00,X4.0,GOES,2000-11-26 16:48:00
2001-03-29 02:44:00,2001-03-29 03:00:00,M2.1,GOES,2001-03-29 02:56:00
2001-03-29 04:01:00,2001-03-29 04:09:00,C4.4,GOES,2001-03-29 04:05:00
2001-03-29 05:08:00,2001-03-29 05:19:00,C5.5,GOES,2001-03-29 05:14:00
2001-03-29 09:57:00,2001-03-29 10:32:00,X1.7,GOES,2001-03-29 10:15:00
2001-03-29 11:29:00,2001-03-29 11:39:00,M2.1,GOES,2001-03-29 11:35:00
2001-03-29 12:35:00,2001-03-29 12:44:00,C7.6,GOES,2001-03-29 12:39:00
2001-03-29 14:09:00,2001-03-29 14:22:00,M1.6,GOES,2001-03-29 14:18:00
2001-03-29 14:28:00,2001-03-29 14:41:00,M1.3,GOES,2001-03-29 14:34:00
2001-03-29 14:52:00,2001-03-29 15:05:00,M1.5,GOES,2001-03-29 14:58:00
2001-03-29 15:20:00,2001-03-29 15:33:00,M1.2,GOES,2001-03-29 15:25:00
2001-03-29 16:09:00,2001-03-29 16:49:00,C6.3,GOES,2001-03-29 16:35:00
2001-03-29 17:33:00,2001-03-29 17:42:00,C5.4,GOES,2001-03-29 17:37:00
2001-03-29 18:12:00,2001-03-29 18:20:00,C4.1,GOES,2001-03-29 18:17:00
2001-03-29 18:26:00,2001-03-29 18:49:00,C7.1,GOES,2001-03-29 18:41:00
2001-03-29 20:10:00,2001-03-29 20:23:00,C6.9,GOES,2001-03-29 20:17:00
2001-03-29 20:43:00,2001-03-29 21:09:00,M1.2,GOES,2001-03-29 21:01:00
2001-04-01 23:48:00,2001-04-02 00:07:00,M1.0,GOES,2001-04-02 00:03:00
2001-04-02 00:14:00,2001-04-02 00:40:00,M3.2,GOES,2001-04-02 00:28:00
2001-04-02 04:03:00,2001-04-02 04:11:00,C5.5,GOES,2001-04-02 04:08:00
2001-04-02 05:25:00,2001-04-02 05:32:00,M1.0,GOES,2001-04-02 05:28:00
2001-04-02 09:19:00,2001-04-02 09:37:00,C8.5,GOES,2001-04-02 09:31:00
2001-04-02 09:45:00,2001-04-02 09:59:00,M1.9,GOES,2001-04-02 09:52:00
2001-04-02 10:04:00,2001-04-02 10:20:00,X1.4,GOES,2001-04-02 10:14:00
2001-04-02 10:58:00,2001-04-02 12:05:00,X1.1,GOES,2001-04-02 11:36:00
2001-04-02 18:08:00,2001-04-02 19:20:00,M2.1,GOES,2001-04-02 18:50:00
2001-04-02 21:32:00,2001-04-02 22:03:00,X20.,GOES,2001-04-02 21:51:00
2001-04-03 03:25:00,2001-04-03 04:55:00,X1.2,GOES,2001-04-03 03:57:00
2001-04-03 12:29:00,2001-04-03 12:38:00,M2.4,GOES,2001-04-03 12:34:00
2001-04-03 16:47:00,2001-04-03 17:13:00,C7.1,GOES,2001-04-03 17:03:00
2001-04-03 17:36:00,2001-04-03 17:50:00,C8.5,GOES,2001-04-03 17:42:00
2001-04-03 18:46:00,2001-04-03 19:00:00,C5.5,GOES,2001-04-03 18:52:00
2001-04-03 23:17:00,2001-04-04 00:04:00,M1.1,GOES,2001-04-03 23:51:00
2001-04-06 01:46:00,2001-04-06 01:54:00,C7.7,GOES,2001-04-06 01:49:00
2001-04-06 17:11:00,2001-04-06 17:50:00,C5,GOES,2001-04-06 17:32:00
2001-04-06 17:51:00,2001-04-06 18:39:00,C7,GOES,2001-04-06 18:15:00
2001-04-06 19:10:00,2001-04-06 19:31:00,X5.6,GOES,2001-04-06 19:21:00
2001-04-10 01:34:00,2001-04-10 01:42:00,B8.1,GOES,2001-04-10 01:37:00
2001-04-10 04:12:00,2001-04-10 04:19:00,B7.3,GOES,2001-04-10 04:16:00
2001-04-10 05:06:00,2001-04-10 05:42:00,X2.3,GOES,2001-04-10 05:26:00
2001-04-10 14:37:00,2001-04-10 15:01:00,C6.5,GOES,2001-04-10 14:51:00
2001-04-10 18:15:00,2001-04-10 18:50:00,C2.7,GOES,2001-04-10 18:37:00
2001-04-10 18:54:00,2001-04-10 19:52:00,C2.9,GOES,2001-04-10 19:07:00
2001-04-10 21:01:00,2001-04-10 21:09:00,C2.4,GOES,2001-04-10 21:05:00
2001-04-10 22:20:00,2001-04-10 23:29:00,C3.3,GOES,2001-04-10 23:01:00
2001-04-11 23:56:00,2001-04-12 00:25:00,C7.7,GOES,2001-04-12 00:08:00
2001-04-12 02:27:00,2001-04-12 02:38:00,B7.2,GOES,2001-04-12 02:32:00
2001-04-12 02:56:00,2001-04-12 03:29:00,M1.3,GOES,2001-04-12 03:04:00
2001-04-12 09:39:00,2001-04-12 10:49:00,X2.0,GOES,2001-04-12 10:28:00
2001-04-12 14:54:00,2001-04-12 15:04:00,C1.1,GOES,2001-04-12 15:01:00
2001-04-12 16:28:00,2001-04-12 16:31:00,C1.0,GOES,2001-04-12 16:29:00
2001-04-12 16:56:00,2001-04-12 17:05:00,B9.4,GOES,2001-04-12 17:01:00
2001-04-15 04:04:00,2001-04-15 04:12:00,C2.2,GOES,2001-04-15 04:08:00
2001-04-15 04:27:00,2001-04-15 04:35:00,C1.0,GOES,2001-04-15 04:32:00
2001-04-15 05:53:00,2001-04-15 06:39:00,C3.6,GOES,2001-04-15 06:14:00
2001-04-15 07:50:00,2001-04-15 08:15:00,C6.7,GOES,2001-04-15 08:01:00
2001-04-15 08:26:00,2001-04-15 09:07:00,C7.7,GOES,2001-04-15 08:45:00
2001-04-15 10:56:00,2001-04-15 11:11:00,C5.3,GOES,2001-04-15 11:04:00
2001-04-15 13:19:00,2001-04-15 13:55:00,X14.,GOES,2001-04-15 13:50:00
